Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T7,T8,P7,P8,Fz,Cz,Pz,AFz,Cpz,POz,TimeStamp,Event,EventTime,EventFile
-3172.8523,-3223.3225,-3173.7241,-3305.7334,52054.2813,51435.7227,65838.0469,44127.7734,-2309.0916,3615.8193,-2961.1367,841.4985,66242.3672,53734.3516,47608.6328,45297.6172,561.0287,4721.7163,3716.9385,32457.1680,42760.0273,44369.2852,91.791382,NaN,NaN,NaN
178.2552,-153.6012,360.3772,-295.1995,52064.2734,51237.7500,65912.6094,43084.7969,1469.7389,3280.6326,1031.3094,2919.3835,66398.0469,53694.5430,47678.7500,44135.1055,2970.9043,3882.0732,3542.1479,32735.8711,42113.3008,44463.8320,91.795380,NaN,NaN,NaN
3730.2603,3461.9946,3576.3684,3222.5178,52050.8203,51049.3477,66045.3594,41667.0938,3267.3555,2945.0435,3888.8904,3431.4622,66608.3750,53682.3164,47794.1523,42627.2578,3519.0361,1731.7908,3299.6763,33135.3203,41236.4844,44600.8477,91.799377,NaN,NaN,NaN
-1501.2549,-1658.3876,-1620.9932,-1575.8873,52017.9609,51360.7969,65892.2734,43455.7891,42.2001,3461.1003,-973.7314,2224.4231,66319.2578,53723.8906,47649.2227,44600.1328,2058.2603,4122.5332,3616.3779,32638.1953,42358.4336,44426.5938,91.803375,NaN,NaN,NaN
-3147.8630,-3202.6472,-3151.9758,-3281.5042,52043.9805,51425.9531,65828.3672,44118.2734,-2378.8066,3598.6531,-2960.5779,837.3410,66232.4219,53724.6055,47598.6641,45287.1133,621.3561,4714.6533,3726.8403,32449.3906,42754.3477,44363.1367,91.807373,NaN,NaN,NaN
248.4396,-97.0960,414.8707,-225.4397,52069.0352,51242.0000,65916.4297,43090.3828,1370.5195,3295.5857,1020.9382,2806.2615,66400.6797,53697.0703,47682.0352,44141.5430,2829.9097,3880.7322,3540.4714,32731.2012,42111.4883,44460.7031,91.811371,NaN,NaN,NaN
3734.0601,3466.2190,3580.4365,3228.7095,52047.3086,51044.8555,66041.8672,41664.8555,3266.4614,2939.8801,3887.7952,3426.6787,66604.3047,53678.6055,47789.8828,42624.3047,3516.3315,1869.0304,3298.4021,33131.8320,41235.6797,44598.9492,91.815369,NaN,NaN,NaN
2994.4854,2722.2188,2749.7786,2630.8672,52024.1094,51126.0391,66028.3047,41928.6094,3073.2529,3057.3608,3310.4944,3413.0442,66553.5234,53695.9961,47771.2188,42941.1875,3466.1519,1973.8378,3351.0181,33061.3125,41414.1172,44574.0469,91.819366,NaN,NaN,NaN
-1623.1389,-1805.5962,-1775.2202,-1748.4427,52028.2227,51370.4297,65901.5938,43465.2891,-8.2254,3481.9771,-1020.2230,2175.4504,66327.1875,53731.8242,47658.5000,44610.9727,1975.9612,4124.2544,3609.6726,32638.4414,42359.7266,44427.8672,91.823364,NaN,NaN,NaN
-3169.2983,-3218.0698,-3167.2644,-3302.4924,52048.9648,51429.9297,65833.0625,44123.8633,-2359.3606,3606.2751,-2949.3572,848.2040,66236.3516,53728.8984,47603.0430,45292.9023,628.3075,4719.4141,3718.4585,32451.5801,42758.4180,44366.7344,91.827362,NaN,NaN,NaN
184.6031,-147.7227,382.0583,-293.1208,52067.2031,51240.2305,65915.2500,43090.2266,1420.4086,3283.9854,1029.7672,2887.4429,66399.5000,53696.7578,47680.9414,44140.5820,2955.4370,3891.6396,3545.7241,32734.9785,42117.5898,44466.1563,91.831360,NaN,NaN,NaN
3737.4126,3467.7166,3586.2031,3228.5083,52056.9414,51054.3125,66050.8125,41674.8711,3271.9153,2957.1133,3892.9810,3437.1616,66612.1719,53686.7188,47798.9375,42635.3711,3521.9194,1821.0636,3302.2690,33133.8672,41239.5469,44602.3242,91.835358,NaN,NaN,NaN
3055.4387,2783.7756,2816.6104,2703.1975,52031.1055,51132.4063,66035.0547,41935.5156,3104.6125,3067.8887,3355.5107,3418.2522,66560.1172,53702.6133,47777.9688,42948.4492,3469.7283,1918.7184,3356.3379,33064.9570,41419.1445,44579.2773,91.839355,NaN,NaN,NaN
-1528.1664,-1716.7034,-1672.0669,-1624.6141,52023.1250,51365.4688,65897.6797,43460.7305,76.4430,3464.5427,-947.1328,2214.1638,66323.8828,53728.6953,47654.3633,44604.5586,2054.3040,4132.0552,3621.0496,32641.6602,42364.1094,44432.7852,91.843353,NaN,NaN,NaN
-3154.0544,-3207.7434,-3159.4636,-3286.0862,52051.7109,51432.8164,65835.6328,44127.3281,-2381.4888,3611.6172,-2968.9150,829.3838,66238.0078,53730.4180,47605.0352,45296.0547,584.3640,4718.8779,3721.9900,32449.8359,42758.6406,44366.4453,91.847351,NaN,NaN,NaN
259.8390,-84.2884,424.1243,-211.0899,52070.7109,51243.3633,65918.2656,43094.9648,1369.2902,3294.8481,1007.6837,2827.2498,66401.3047,53698.3438,47683.1523,44145.1641,2855.1223,3889.5164,3544.0479,32731.7148,42116.9219,44464.4141,91.851349,NaN,NaN,NaN
3737.7480,3468.6777,3584.2361,3234.3643,52048.6953,51046.1523,66043.4766,41668.0977,3267.2886,2939.2319,3887.5493,3427.8857,66605.0469,53679.7227,47791.1797,42626.9414,3520.5784,1882.1957,3301.8889,33131.5664,41239.3008,44601.6992,91.855347,NaN,NaN,NaN
3005.5049,2734.5347,2765.4248,2641.3057,52029.6289,51130.3945,66033.6016,41933.8398,3069.9226,3067.1733,3304.5042,3419.7720,66557.9531,53700.2656,47776.0234,42946.4844,3468.2083,1835.6370,3353.0298,33060.6875,41416.1953,44576.2383,91.859344,NaN,NaN,NaN
3005.5049,2734.5347,2765.4248,2641.3057,52029.6289,51130.3945,66033.6016,41933.8398,3069.9226,3067.1733,3304.5042,3419.7720,66557.9531,53700.2656,47776.0234,42946.4844,3468.2083,1835.6370,3353.0298,33060.6875,41416.1953,44576.2383,91.863342,NaN,NaN,NaN
-1605.3469,-1787.8489,-1753.2037,-1738.2280,52027.2578,51368.4883,65901.1172,43463.9727,18.3955,3475.5398,-1058.9362,2272.6807,66326.4297,53730.9766,47657.4492,44608.4688,2094.8948,4101.2319,3620.1108,32638.4629,42362.0742,44430.8203,91.867340,NaN,NaN,NaN
-3172.9866,-3224.4626,-3174.5957,-3310.1367,52046.3242,51427.2734,65830.9375,44122.8320,-2310.0303,3597.3342,-2954.4312,910.0065,66233.6016,53726.5508,47600.4727,45290.8672,747.9117,4720.2188,3732.4729,32449.7695,42760.4297,44367.9883,91.871338,NaN,NaN,NaN
107.0425,-250.0266,295.2442,-396.9446,52070.7109,51243.2930,65918.2656,43096.8438,1413.8148,3291.7412,1012.2657,2903.9385,66400.5469,53698.3203,47683.0859,44146.8828,2977.3865,3884.5989,3546.3948,32730.9316,42119.1563,44465.3984,91.875336,NaN,NaN,NaN
