Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T7,T8,P7,P8,Fz,Cz,Pz,AFz,Cpz,POz,TimeStamp,Event,EventFile,EventTime
152676.9219,163227.8281,151923.3281,159065.4844,187500.0000,187500.0000,187500.0000,187500.0000,149907.1719,149866.2969,157940.5781,155000.5313,187500.0000,171523.6406,187500.0000,175209.7031,158514.2344,157781.6719,136883.8281,187500.0000,187500.0000,187500.0000,28.431030,NaN,NaN,NaN
153105.8906,165908.1719,151636.2344,160154.1719,187500.0000,187500.0000,187500.0000,187500.0000,149525.0781,149624.0938,157465.1719,155274.4375,187500.0000,171520.2188,187500.0000,175299.3906,158914.2344,158068.6406,136874.2969,187500.0000,187500.0000,187500.0000,28.435028,NaN,NaN,NaN
153099.0000,165959.7813,151620.9063,160200.1563,187500.0000,187500.0000,187500.0000,187500.0000,149512.1250,149626.7969,157445.2344,155285.3594,187500.0000,171525.5625,187500.0000,175330.0781,158912.1875,158069.6563,136901.8594,187500.0000,187500.0000,187500.0000,28.439026,NaN,NaN,NaN
152643.2813,163275.6875,151881.5938,159115.6094,187500.0000,187500.0000,187500.0000,187500.0000,149871.6094,149854.7656,157894.0313,155007.9531,187500.0000,171528.3281,187500.0000,175252.5781,158496.2656,157768.6250,136913.7344,187500.0000,187500.0000,187500.0000,28.443024,NaN,NaN,NaN
152318.7344,161377.5938,152053.0156,158308.4375,187500.0000,187500.0000,187500.0000,187500.0000,150112.7969,149985.1406,158198.8750,154794.9219,187500.0000,171519.5469,187500.0000,175159.3125,158203.7188,157551.0313,136879.1250,187500.0000,187500.0000,187500.0000,28.447021,NaN,NaN,NaN
152603.0469,163091.2813,151870.8438,158967.4531,187500.0000,187500.0000,187500.0000,187500.0000,149870.2500,149828.9688,157897.5469,154961.5469,187500.0000,171516.2188,187500.0000,175192.0313,158463.7188,157734.0938,136838.0625,187500.0000,187500.0000,187500.0000,28.451019,NaN,NaN,NaN
153040.4219,165787.5313,151589.9219,160066.1406,187500.0000,187500.0000,187500.0000,187500.0000,149492.9063,149604.4375,157428.1875,155241.7813,187500.0000,171518.2500,187500.0000,175289.7344,158864.7656,158022.2031,136828.3906,187500.0000,187500.0000,187500.0000,28.455017,NaN,NaN,NaN
153033.0625,165859.7969,151567.0156,160116.3281,187500.0000,187500.0000,187500.0000,187500.0000,149471.8125,149592.6406,157399.2188,155249.4844,187500.0000,171520.7813,187500.0000,175315.8594,158869.5313,158029.4375,136858.8750,187500.0000,187500.0000,187500.0000,28.459015,NaN,NaN,NaN
152581.5156,163189.8750,151828.2188,159037.8125,187500.0000,187500.0000,187500.0000,187500.0000,149832.0938,149821.5625,157848.4375,154973.9375,187500.0000,171526.1406,187500.0000,175241.4531,158458.0625,157732.9688,136873.7188,187500.0000,187500.0000,187500.0000,28.463013,NaN,NaN,NaN
152260.3750,161275.8594,152009.0938,158228.3125,187500.0000,187500.0000,187500.0000,187500.0000,150082.0625,149971.1250,158164.8125,154764.5625,187500.0000,171521.8906,187500.0000,175154.9688,158161.2500,157512.3594,136838.6563,187500.0000,187500.0000,187500.0000,28.467010,NaN,NaN,NaN
152535.2031,162960.8125,151822.7813,158871.2969,187500.0000,187500.0000,187500.0000,187500.0000,149836.3594,149800.3594,157860.9531,154922.6875,187500.0000,171512.9688,187500.0000,175178.9375,158418.2344,157693.1406,136797.2344,187500.0000,187500.0000,187500.0000,28.471008,NaN,NaN,NaN
152977.6094,165672.4688,151543.1875,159977.8906,187500.0000,187500.0000,187500.0000,187500.0000,149460.7500,149574.4688,157392.4375,155208.2031,187500.0000,171517.4219,187500.0000,175279.2969,158823.9375,157984.7188,136789.2344,187500.0000,187500.0000,187500.0000,28.475006,NaN,NaN,NaN
152976.9375,165772.2813,151520.6406,160041.9219,187500.0000,187500.0000,187500.0000,187500.0000,149437.9219,149571.6250,157362.0469,155222.3281,187500.0000,171520.3906,187500.0000,175309.0781,158827.3594,157988.8594,136814.2031,187500.0000,187500.0000,187500.0000,28.479004,NaN,NaN,NaN
152518.8281,163103.6719,151772.8125,158959.9688,187500.0000,187500.0000,187500.0000,187500.0000,149789.6719,149781.5781,157800.6250,154941.1406,187500.0000,171519.2969,187500.0000,175226.0313,158416.1094,157691.7031,136828.2344,187500.0000,187500.0000,187500.0000,28.483002,NaN,NaN,NaN
152196.1250,161172.7969,151957.5625,158145.5625,187500.0000,187500.0000,187500.0000,187500.0000,150045.4688,149933.5938,158121.9375,154732.7188,187500.0000,171518.2031,187500.0000,175141.9844,158118.5625,157470.6719,136795.6406,187500.0000,187500.0000,187500.0000,28.487000,NaN,NaN,NaN
152473.3281,162842.4844,151779.9375,158786.3594,187500.0000,187500.0000,187500.0000,187500.0000,149807.0156,149780.6875,157827.7188,154893.8438,187500.0000,171513.8281,187500.0000,175171.5938,158371.3281,157648.0156,136753.4375,187500.0000,187500.0000,187500.0000,28.490997,NaN,NaN,NaN
152915.4375,165688.1719,151466.2344,159964.7500,187500.0000,187500.0000,187500.0000,187500.0000,149396.2188,149531.9531,157314.9063,155188.5781,187500.0000,171515.7188,187500.0000,175294.4844,158787.0938,157949.4844,136769.5000,187500.0000,187500.0000,187500.0000,28.494995,NaN,NaN,NaN
152465.5781,163035.3906,151724.6875,158893.2188,187500.0000,187500.0000,187500.0000,187500.0000,149752.5938,149759.9844,157759.5938,154913.8125,187500.0000,171519.5938,187500.0000,175219.7188,158377.5469,157654.4063,136784.5781,187500.0000,187500.0000,187500.0000,28.498993,NaN,NaN,NaN
152130.5313,161070.2656,151903.5469,158059.0781,187500.0000,187500.0000,187500.0000,187500.0000,150004.4063,149898.2813,158076.8750,154693.5781,187500.0000,171511.7969,187500.0000,175125.9375,158075.2656,157430.4844,136751.7969,187500.0000,187500.0000,187500.0000,28.502991,NaN,NaN,NaN
